"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"[Joy riding and dyssocial behavior. A comparative study based on 84 members of a delinquent group].",9005801,1996,"Sep-Oct",NA,"Joy riding is the technical term for a specific behavioral pattern consisting of ","Knecht, T","Aus der Psychiatrischen Klinik des Kantons Thurgau.","ger","English Abstract; Journal Article","Arch Kriminol",NA,"Archiv fur Kriminologie","joyriding"
"[Joy riding: multiple criminal car rides in an intoxicated state in relation to dyssocial personality with addictive tendencies].",7575087,1995,"Jul-Aug",NA,"Going out from the case report of a young unskilled worker, the author introduces ","Knecht, T","Kantonalen Psychiatrischen Klinik Munsterlingen.","ger","Case Reports; English Abstract; Journal Article","Arch Kriminol",NA,"Archiv fur Kriminologie","joyriding"
