"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Fixating on the future: An overview of increased astrology use.",35510634,2022,"Aug","10.1177/00207640221094155 [doi]","BACKGROUND: Interest in astrology has surged recently, possibly due to the ","Das, Abhilasha; Sharma, Manoj Kumar; Kashyap, Himani; Gupta, Srijita","Department of Clinical Psychology, National Institute of Mental Health & Neuro ; SHUT Clinic (Service for Healthy Use of Technology), Department of Clinical ; Department of Clinical Psychology, National Institute of Mental Health & Neuro ; Department of Clinical Psychology, National Institute of Mental Health & Neuro ","eng","Journal Article; Review","Int J Soc Psychiatry",NA,"The International journal of social psychiatry","fortune_telling"
"An addiction to seeking fortune-telling services: a case report.",32207396,2020,"Apr-Jun","10.1080/10550887.2020.1740637 [doi]","The paper describes a case report of a 36-years old female patient suffering from ","Skryabin, Valentin Yurievich","Moscow Research and Practical Centre on Addictions, Moscow Research and Practical ","eng","Case Reports; Journal Article","J Addict Dis",NA,"Journal of addictive diseases","fortune_telling"
"Fortune telling addiction: Unfortunately a serious topic about a case report.",25786497,2015,"Mar","10.1556/JBA.4.2015.1.7 [doi]","BACKGROUND: Constant social change brings about new forms of behavior, such as ","Grall-Bronnec, Marie; Bulteau, Samuel; Victorri-Vigneau, Caroline; Bouju, Gaelle; Sauvaget, Anne","Nantes University Hospital, Pavillon Louis Philippe, Hopital Saint Jacques ; Nantes University Hospital Psychiatry Department Nantes France.; Nantes University EA 4275 ""Biostatistics, Pharmacoepidemiology and Subjective ; Nantes University Hospital, Pavillon Louis Philippe, Hopital Saint Jacques ; Nantes University Hospital Psychiatry Department Nantes France.","eng","Case Reports; Journal Article","J Behav Addict","Conflict of interest: The authors declare no financial or other related ","Journal of behavioral addictions","fortune_telling"
