"Title","PMID"
"Prevalence of Internet Gaming Disorder among Saudi Arabian university students: relationship with psychological distress.","36590512"
"Problem Gaming: A Short Primer.","34721754"
"Correlational study between online friendship network and internet game disorder among university students.","34661980"
"A meta-analytic review of Internet gaming disorder and the Big Five personality factors.","34844064"
"Which is more stable and specific: DSM-5 internet gaming disorder or ICD-11 gaming disorder? A longitudinal study.","36562926"
"Imbalanced sensitivities to primary and secondary rewards in internet gaming disorder.","34727087"
"Patterns and Predictors of Internet Gaming Disorder: An Observational Study from Jordan.","35173791"
"Validation of the Ten-Item Internet Gaming Disorder Test (IGDT-10) based on the clinical diagnosis of IGD in Japan.","36194503"
"Increase of orexin A in the peripheral blood of adolescents with Internet gaming disorder.","31957460"
"Internet addiction and problematic Internet use: A systematic review of clinical research.","27014605"
"A cognitive-behavioral model of Internet gaming disorder: theoretical underpinnings and clinical implications.","25062755"
"Relationship between the experience of online game genre and high risk of Internet gaming disorder in Korean adolescents.","32272007"
"Spending Money in Free-to-Play Games: Sociodemographic Characteristics, Motives, Impulsivity and Internet Gaming Disorder Specificities.","36497782"
"Measuring Internet Gaming Disorder and Gaming Disorder: A Qualitative Content Validity Analysis of Validated Scales.","34726084"
"Predictors of gaming disorder in children and adolescents: a school-based study.","32756806"
"Editorial: Risks of ""cyber-relationships"" in adolescents and young people.","36733658"
"Dissociative Experiences Associated With Internet Gaming Disorder After Controlling For Childhood Trauma And ADHD Diagnosis.","34569448"
"The role of internet gaming in the association between anxiety and depression: A preliminary cross-sectional study.","34013597"
"Risk and protective factors for (internet) gaming disorder: A meta-analysis of pre-COVID studies.","36571943"
"Internet gaming disorder: A sign of the times, or time for our attention?","28720303"
"Gaming Disorder and Well-Being Among Emirati College Women.","34113271"
"Prevalence and risk factors for internet gaming disorder.","32785455"
"Father-Child Longitudinal Relationship: Parental Monitoring and Internet Gaming Disorder in Chinese Adolescents.","29467704"
"Behavioral modification decreases approach bias in young adults with internet gaming disorder.","33069109"
"Parenting paused: Pathological video game use and parenting outcomes.","32467833"
"Association between Internet gaming disorder and generalized anxiety disorder.","29280398"
"The psychometric properties of the Chinese version internet gaming disorder scale.","32193072"
"An international consensus for assessing internet gaming disorder using the new DSM-5 approach.","24456155"
"Altered Heart Rate Variability During Gameplay in Internet Gaming Disorder: The Impact of Situations During the Game.","30258372"
"Policy, prevention, and regulation for Internet Gaming Disorder.","30273049"
"Dissociative Absorption May Contribute to Internet Gaming Disorder Independent of Childhood Trauma and ADHD Symptoms Among Male University Students.","35950830"
"The concept of ""harm"" in Internet gaming disorder.","29788746"
"Diagnostic Contribution of the DSM-5 Criteria for Internet Gaming Disorder.","35069285"
"Identifying individuals in need of help for their uncontrolled gaming: A narrative review of concerns and comments regarding gaming disorder diagnostic criteria.","33011711"
"Efficacy of cognitive behavioural therapy for internet gaming disorder.","31881100"
"Effect of Parental Perception on the Prevalence of Adolescent Internet Gaming Disorder During the COVID-19 Pandemic.","35620819"
"Anxiety, Depression, and Stress Are Associated With Internet Gaming Disorder During COVID-19: Fear of Missing Out as a Mediator.","35222126"
"Contextualising video game engagement and addiction in mental health: the mediating roles of coping and social support.","33235930"
"Gaming and Gaming Disorder: A Mediation Model Gender, Salience, Age of Gaming Onset, and Time Spent Gaming.","32654509"
"Cyberbullying and internet gaming disorder in Chinese youth: The role of positive youth development attributes.","36478713"
"Internet gaming disorder in Lebanon: Relationships with age, sleep habits, and academic achievement.","29486571"
"Reliability and Validity of the Behavioral Addiction Measure for Video Gaming.","26720761"
"Need fulfilment and internet gaming disorder: A preliminary integrative model.","31193898"
"Internet gaming disorder and its relationship with behavioral disorder and mother's parenting styles in primary school students according to gender in Iran.","34311789"
"Relationship Between Illness Representations and Symptoms of Internet Gaming Disorder Among Young People: Cross-Lagged Model.","34851298"
"Internet gaming disorder and psychosocial well-being: A longitudinal study of older-aged adolescents and emerging adults.","32683173"
"Inhibitory neuromodulation of the putamen to the prefrontal cortex in Internet gaming disorder: How addiction impairs executive control.","32663381"
"Video game addiction in emerging adulthood: Cross-sectional evidence of pathology in video game addicts as compared to matched healthy controls.","28841491"
"The relative contribution of motives and maladaptive cognitions to levels of Internet Gaming Disorder.","30705935"
"Internet Gaming Disorder profiles and their associations with social engagement behaviours.","33962126"
"The comparison of temperament and character between patients with internet gaming disorder and those with alcohol dependence.","28132570"
"Merging Theoretical Models and Therapy Approaches in the Context of Internet Gaming Disorder: A Personal Perspective.","29104555"
"Validation of the Internet Gaming Disorder Scale - Short-Form (IGDS9-SF) in an Italian-speaking sample.","27876422"
"Relationship between problematic gaming and age at the onset of habitual gaming.","32379947"
"Impaired regulation of both addiction-related and primary rewards in individuals with internet gaming disorder.","32114205"
"Internet gaming disorder in male and female young adults: The role of alexithymia, depression, anxiety and gaming type.","30616119"
"Prevalence and risk factors of internet gaming disorder and problematic internet use before and during the COVID-19 pandemic: A large online survey of Japanese adults.","34385071"
"Addictive Online Games: Examining the Relationship Between Game Genres and Internet Gaming Disorder.","26959285"
"Considering gender differences in the study and treatment of internet gaming disorder.","35793576"
"Problematic gaming exists and is an example of disordered gaming.","28816501"
"Prevalence of Internet Gaming Disorder among Korean Adolescents and Associations with Non-psychotic Psychological Symptoms, and Physical Aggression.","27779939"
"Metacognitions and emotion recognition in Internet Gaming Disorder among adolescents.","33364305"
"In search of the optimum structural model for Internet Gaming Disorder.","33794827"
"Gaming in China Before the COVID-19 Pandemic and After the Lifting of Lockdowns: a Nationwide Online Retrospective Survey.","35382159"
"Relationship between Internet Gaming Disorder with Depressive Syndrome and Dopamine Transporter Condition in Online Games Player.","31777623"
