"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"9005801",1996,"Sep-Oct","[Joy riding and dyssocial behavior. A comparative study based on 84 members of a ",NA,"Joy riding is the technical term for a specific behavioral pattern consisting of ","Knecht, T","Aus der Psychiatrischen Klinik des Kantons Thurgau.","ger","English Abstract; Journal Article","Arch Kriminol",NA,"Archiv fur Kriminologie"
"7575087",1995,"Jul-Aug","[Joy riding: multiple criminal car rides in an intoxicated state in relation to ",NA,"Going out from the case report of a young unskilled worker, the author introduces ","Knecht, T","Kantonalen Psychiatrischen Klinik Munsterlingen.","ger","Case Reports; English Abstract; Journal Article","Arch Kriminol",NA,"Archiv fur Kriminologie"
