"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Why do we climb mountains? An exploration of features of behavioural addiction in mountaineering and the association with stress-related psychiatric disorders.",35980451,2023,"Apr","10.1007/s00406-022-01476-8 [doi]","Common knowledge implies that individuals engaging in outdoor sports and ","Habelt, Leonie; Kemmler, Georg; Defrancesco, Michaela; Spanier, Bianca; Henningsen, Peter; Halle, Martin; Sperner-Unterweger, Barbara; Hufner, Katharina","Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; Department of Psychosomatics, Klinikum Rechts der Isar, School of Medicine, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; DZHK (German Centre for Cardiovascular Research), Partner Site Munich Heart ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ","eng","Journal Article","Eur Arch Psychiatry Clin Neurosci","On behalf of all authors, the corresponding author states that there is no ","European archives of psychiatry and clinical neuroscience","extreme_sport"
"[Social-psychological characteristics of different types addictive behavior].",30778034,2019,NA,"10.17116/jnevro201911901169 [doi]","AIM: To study social-psychological predictors of different types of addictive ","Korolenko, Ts P; Ovchinnikov, A A; Sultanova, A N; Neustroeva, A Yu","Novosibirsk State Medical University, Novosibirsk, Russia.; Novosibirsk State Medical University, Novosibirsk, Russia.; Novosibirsk State Medical University, Novosibirsk, Russia.; Novosibirsk State Medical University, Novosibirsk, Russia.","rus","Journal Article","Zh Nevrol Psikhiatr Im S S Korsakova",NA,"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova","extreme_sport"
"Development and Initial Validation of a Rock Climbing Craving Questionnaire (RCCQ).",29520248,2018,NA,"10.3389/fpsyg.2018.00204 [doi]; 204","Conceptual similarities have been identified between experiences of extreme ","Roderique-Davies, Gareth; Heirene, Robert M; Mellalieu, Stephen; Shearer, David A","School of Psychology and Therapeutic Studies, University of South Wales, ; School of Psychology and Therapeutic Studies, University of South Wales, ; Cardiff School of Sport, Cardiff Metropolitan University, Cardiff, United ; School of Psychology and Therapeutic Studies, University of South Wales, ","eng","Journal Article","Front Psychol",NA,"Frontiers in psychology","extreme_sport"
"Response to ""Nature fix: Addiction to outdoor activities""R. C. Buckley's commentary on Heirene, R. M., Shearer, D., Roderique-Davies, G., & Mellalieu, S. D. (2016). Addiction in extreme sports: An exploration of withdrawal states in rock climbers. Journal of Behavioral Addictions, 5, 332-341.",27998174,2016,"Dec","10.1556/2006.5.2016.087 [doi]","Buckley's commentary on our study of rock climber's withdrawal experiences raises ","Heirene, Robert M; Shearer, David; Mellalieu, Stephen D; Roderique-Davies, Gareth","1 School of Psychology and Therapeutic Studies, University of South Wales , ; 1 School of Psychology and Therapeutic Studies, University of South Wales , ; 2 Cardiff School of Sport, Cardiff Metropolitan University , Cardiff, UK.; 1 School of Psychology and Therapeutic Studies, University of South Wales , ","eng","Comment; Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","extreme_sport"
"Commentary on: Addiction in extreme sports: An exploration of withdrawal states in rock climbers.",27998172,2016,"Dec","10.1556/2006.5.2016.082 [doi]","Individuals can display characteristics of behavioral addictions to nature and ","Buckley, Ralf C","1 International Chair in Ecotourism Research, Griffith University , Gold Coast, ","eng","Comment; Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","extreme_sport"
"Addiction in Extreme Sports: An Exploration of Withdrawal States in Rock Climbers.",27348554,2016,"Jun","10.1556/2006.5.2016.039 [doi]","Background and aims Extreme sports athletes are often labeled ""adrenaline ","Heirene, Robert M; Shearer, David; Roderique-Davies, Gareth; Mellalieu, Stephen D","School of Psychology and Therapeutic Studies, University of South Wales , ; School of Psychology and Therapeutic Studies, University of South Wales , ; School of Psychology and Therapeutic Studies, University of South Wales , ; Cardiff School of Sport, Cardiff Metropolitan University , Cardiff, United ","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","extreme_sport"
"Adventure Thrills are Addictive.",26733908,2015,NA,"10.3389/fpsyg.2015.01915 [doi]; 1915",NA,"Buckley, Ralf C","International Chair in Ecotourism Research, Griffith School of Environment, ","eng","Journal Article","Front Psychol",NA,"Frontiers in psychology","extreme_sport"
