"Title","PMID"
"[Joy riding and dyssocial behavior. A comparative study based on 84 members of a delinquent group].","9005801"
"[Joy riding: multiple criminal car rides in an intoxicated state in relation to dyssocial personality with addictive tendencies].","7575087"
