"Title","Author_Info","Journal","Year","Label"
"An empirical investigation of dance addiction.","Maraz A, et al.","PLoS One",2015,"dance"
"Argentine tango: Another behavioral addiction?","Targhetta R, et al.","J Behav Addict",2013,"dance"
